"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"87299311620","0","LEGUME SEEDS","1987-12-17","start-actual","1994-06-30","end-planned","Germany","DEU","Uganda","UGA","311","Agriculture","Completion","1987","1994","4090334.857","4035615.463"
"8729922176","0","PILOT OUTPUT AND PERFORMANCE BASED ROADS","2005-06-23","start-actual","2009-12-31","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","2005","2009","41213636.363","44492303.014"
"87299311626","0","SOUTH WEST REGION AGRICULTURAL PROJECT","","start-actual","","end-planned","International Development Association|International Fund for Agricultural Development","DAC|DAC","Uganda","UGA","311","Agriculture","Completion","1988","1996","21604139.715","16920315.165"
"87299311631","0","NATIONAL CENSUS OF AGRICULTURE","","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","311","Agriculture","Completion","1988","1993","4079394.0","4061778.0"
"87299241333","0","VILLAGE MEAT PROCESSING","2000-11-16","start-actual","","end-planned","Food and Agriculture Organization","DAC","Uganda","UGA","311","Agriculture","Completion","2000","2003","198000.0","219359.0"
"8729931447","0","INTRODUCTION AND PRIV M.V.INSPECTION SERVICE","2006-06-23","start-actual","2009-12-31","end-planned","China","CHN","Uganda","UGA","151","Government and civil society, general","Completion","2006","2009","4988345.976","5381110.419"
"872992743","0","HOIMA-KAISO-TONYA ROAD","2008-05-15","start-actual","2011-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","210","Transport and storage","Completion","2008","2011","2122641.509","2077309.766"
"8729922356","0","REHABILITATION AND EQUIPPING HEALTH FACILITIES","2010-06-17","start-actual","2013-12-31","end-planned","Japan","JPN","Uganda","UGA","120","Health","Implementation","2010","2013","18638261.428","0.0"
"8729932245","0","WATER & SANITATION DEVELOPMENT FACILITY-EAST","2010-11-23","start-actual","2013-06-30","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Implementation","2010","2013","32876712.328","4015930.388"
"8729931389","0","PUBLIC SECTOR MANAGEMENT","2006-01-16","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","151","Government and civil society, general","Implementation","2006","2006","30793815.953","0.0"
"8729924885","0","ESSENTIAL DRUGS SUPPLY PROGRAMME - PHASE IV","1996-04-08","start-actual","2003-12-31","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","120","Health","Completion","1996","2005","50673138.154","25266601.22"
"87299251695","0","REHABILITATION OF FISHERIES STATISTICS","1988-06-30","start-actual","","end-planned","United Nations Development Programme|United States of America","DAC|USA","Uganda","UGA","311","Agriculture","Completion","1987","1999","21504593.0","2472802.0"
"8729927948","0","REHABILITATION OF AHRC","1997-01-01","start-actual","2001-12-31","end-planned","Germany","DEU","Uganda","UGA","311","Agriculture","Completion","1986","2002","7721259.182","9185374.927"
"87299271302","0","POPULATION AND FAMILY WELFARE EDUCATION","1997-10-01","start-actual","","end-planned","United Nations Populations Fund","DAC","Uganda","UGA","160","Other social infrastructure and services","Completion","1989","2002","1126721.0","978858.0"
"87299271229","0","SAFE MOTHERHOOD INITIATIVES","1997-11-30","start-actual","1998-04-30","end-planned","United Kingdom|United Nations Populations Fund","GBR|DAC","Uganda","UGA","120","Health","Completion","1990","1998","1834598.653","1730531.428"
"87299241306","0","COORDINATION, COMMUNICATION AND ADVOCACY - MFPED","2000-06-14","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1995","2002","118850000.0","3193616.0"
"8729922741","0","LEATHER AND LEATHER PRODUCTS INDUSTRY","1997-03-24","start-actual","2001-12-31","end-planned","Austria","AUT","Uganda","UGA","331","Trade policy and regulations","Completion","1996","2001","1495405.0","1545227.0"
"8729922716","0","PRIVATE ENTERPRISE SUPPORT TRAINING AND ORGANISATIONAL DEVELOPMENT (PRESTO)","1995-09-04","start-actual","","end-planned","United States of America","USA","Uganda","UGA","151","Government and civil society, general","Completion","1995","2002","32350000.0","30174543.0"
"87299381404","0","STRENGTHENING DISASTER MANAGEMENT AND PREPARATION PROJECT","1997-09-01","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1997","1999","310000.0","257967.0"
"87299211385","0","CCF SUPPORT PROJECT","1997-09-29","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1997","2007","33364200.0","18946200.0"
"87299451738","0","AGRICULTURAL DEVELOPMENT PROJECT","1986-05-08","start-actual","1993-09-30","end-planned","International Development Association|International Fund for Agricultural Development","DAC|DAC","Uganda","UGA","311","Agriculture","Completion","1986","1994","33606557.377","23476106.6"
"87299221418","0","NATIONAL LONG TERM VISION -2025","1997-02-05","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1997","1999","1731140.0","1731921.0"
"87299221757","1","ENTEBBE INTERNATIONAL AIRPORT","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","210","Transport and storage","Completion","1994","2000","27334625.515","28634686.212"
"8729922650","0","AGRICULTURE RESEARCH AND TRAINING PROJECT (NARO)","1993-08-31","start-actual","2002-08-30","end-planned","International Development Association|United States of America","DAC|USA","Uganda","UGA","311","Agriculture","Completion","1989","2002","35044525.966","25421922.827"
"87299271106","0","WATER HYACINTH RESEARCH","1998-01-02","start-actual","","end-planned","Netherlands","NLD","Uganda","UGA","510","General budget support","Completion","1998","2001","265255.319","200127.875"
"87299451763","0","PLANT PROTECTION & QUARANTINE SERV.","1989-02-01","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","311","Agriculture","Completion","1989","1993","1320286.0","1287153.0"
"87299311764","0","KUMI HEALTH PROJECT","","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","120","Health","Completion","1993","2001","4922600.619","5105249.168"
"87299351288","0","UGANDA COMMON HEALTH STUDIES PROJECT","1996-01-01","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","120","Health","Completion","1996","2002","539790.123","667259.166"
"87299221406","0","DISTRICT DEVELOPMENT PROJECT (PPF)","1998-01-02","start-actual","","end-planned","International Fund for Agricultural Development|United Nations Development Programme","DAC|DAC","Uganda","UGA","151","Government and civil society, general","Completion","1998","2009","5077235.199","4191894.94"
"8729922642","0","LIVESTOCK SERVICES PROJECT","1990-11-14","start-actual","1999-06-30","end-planned","International Development Association","DAC","Uganda","UGA","311","Agriculture","Completion","1990","1999","19248159.673","18744600.911"
"8729922648","1","ENTERPRISES DEVELOPMENT PROJECT","1992-09-17","start-actual","2000-06-30","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1992","2001","43520263.121","43629696.319"
"8729921807","0","INTEGRATED COMMUNITY DEVELOPMENT","1996-01-19","start-actual","","end-planned","International Fund for Agricultural Development","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1995","1999","5103776.5","2570430.768"
"87299221122","0","MT ELGON CONSERVATION AND DEVELOPMENT PROJECT","1996-01-17","start-actual","","end-planned","Norway","NOR","Uganda","UGA","140","Water supply and sanitation","Completion","1996","2006","15132713.077","15641628.292"
"87299311776","0","COMBINED FORESTRY TRAINING PROJECT","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","160","Other social infrastructure and services","Completion","1994","1998","41136873.597","1601195.291"
"87299311779","0","PERI-URBAN PLANTATIONS PROJECT","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","160","Other social infrastructure and services","Completion","1996","2001","9193525.265","1226124.42"
"87299381416","0","INSTITUTIONAL SUPPORT TO NEMA","1996-02-15","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Completion","1996","1999","1187855.0","1187855.0"
"8729922910","0","WORKSHOP FOR CARRIAGE AND WAGON REPAIRS","1999-09-29","start-actual","","end-planned","Germany","DEU","Uganda","UGA","210","Transport and storage","Completion","1999","2007","4191481.404","4749060.657"
"87299271396","0","HIV/AIDS AND RIGHT TO SELF PROTECTION","2000-01-01","start-actual","","end-planned","United Nations Children's Fund|United Nations Development Programme","DAC|DAC","Uganda","UGA","120","Health","Completion","2000","2004","101199278.0","13617521.0"
"87299241414","0","UN VOLUNTEER UMBRELLA PROJECT","1996-03-20","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1996","1999","745770.0","799209.0"
"87299241194","0","POWER III-MIN OF NATURAL RESOURCE","2000-06-05","start-actual","","end-planned","International Development Association|Sweden","DAC|SWE","Uganda","UGA","230","Energy generation and supply","Completion","1992","2001","139748437.586","10896170.637"
"87299221397","0","UGANDA PHOTOVOLTAIC PILOT PROJECT","1997-11-24","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","230","Energy generation and supply","Completion","1997","2005","1000000.0","820000.0"
"8729931898","0","PASTURE FARMING IN ANKOLE RANCH","2000-08-11","start-actual","","end-planned","Germany","DEU","Uganda","UGA","311","Agriculture","Completion","2000","2002","991424.746","155952.862"
"87299311801","0","BASIC EDUCATION -CHILD AND ADULT DEVELOPMENT","","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","110","Education","Completion","1995","2000","17850000.0","10345060.0"
"87299311803","0","COORDINATION, COMM.AND ADVOCACY -DEC.SEC","","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1995","1996","17850000.0","898734.0"
"8729922635","0","COTTON SUB-SECTOR-AGSEC","1994-11-18","start-actual","2001-12-31","end-planned","International Development Association|International Fund for Agricultural Development","DAC|DAC","Uganda","UGA","151","Government and civil society, general","Completion","1994","2002","27437034.557","12016735.997"
"87299221165","0","FINANCIAL MARKETS ASSISTANCE PROGRAMME","2006-10-02","start-actual","2006-12-31","end-planned","Sweden","SWE","Uganda","UGA","151","Government and civil society, general","Completion","2005","2009","3604492.335","4773900.224"
"87299221391","0","PUBLIC PROCUREMENT IMPROVEMENT PROJECT","1998-04-01","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1994","2005","761000.0","968284.0"
"87299351162","0","SUSTAINABLE ENERGY FOR HOUSEHOLDS/INDUSTRY","1998-04-16","start-actual","","end-planned","Netherlands","NLD","Uganda","UGA","230","Energy generation and supply","Completion","1998","2002","425296.536","341266.702"
"87299241223","0","POLICY FOR DELIVERY OF VETERINARY SERVICES","1998-01-01","start-actual","2001-12-31","end-planned","United Kingdom","GBR","Uganda","UGA","311","Agriculture","Completion","1998","2001","405011.551","39607.424"
"8729922654","0","COTTON SUBSECTOR DEVELOPMENT -MAAIF","1994-11-18","start-actual","2002-12-31","end-planned","International Development Association","DAC","Uganda","UGA","311","Agriculture","Completion","1994","2002","14450867.052","13832034.758"
"8729922880","0","AGRICULTURAL SECTOR PROGRAMME SUPPORT-REGULATORY","1998-09-22","start-actual","2000-12-31","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","311","Agriculture","Completion","1998","2003","47562004.048","978704.538"
"8729921328","0","INSTITUTIONAL SUPPORT TO GOOD GOVERNANCE AND ACCOUNTABILITY","1999-01-12","start-actual","2001-12-31","end-planned","African Development Fund|United Nations Development Programme","DAC|DAC","Uganda","UGA","151","Government and civil society, general","Completion","1996","2010","17007241.933","17916628.629"
"87299451836","0","AGRIC SECTOR PROG.SUPPOORT -DSATICS","1998-09-22","start-actual","2000-12-31","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","311","Agriculture","Completion","1998","2004","47562004.048","2236563.518"
"8729931539","1","REHABILITATION OF NAKIVUBO CHANNEL","1999-11-30","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Implementation","1999","2005","22147651.006","20100597.676"
"8729931581","0","SUPPORT TO NATIONAL AGRICULTURE RESEARCH ORGANISATION (NARO)","1999-12-02","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","311","Agriculture","Completion","1999","2009","50651185.407","38835408.273"
"87299381248","0","POVERTY MONITORING AND POLICY ANALYSIS","1999-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Completion","1999","2004","6297374.419","1917874.141"
"8729924579","1","UGANDA HIV/AIDS CONTROL PROJECT","2001-05-14","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","120","Health","Completion","2001","2007","48129032.258","44965761.017"
"87299211246","0","LOCAL GOVERNMENT FINANCE COMMISSION","2000-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Completion","2000","2001","289761.363","258723.586"
"8729931611","0","REGRAVEL DISTRICT ROADS (STABEX)","2003-06-11","start-actual","","end-planned","European Union","DAC","Uganda","UGA","210","Transport and storage","Completion","2003","2007","34562211.981","15489072.31"
"87299251199","0","SWEDISH SUPPORT TO HEALTH SECTOR","2003-01-02","start-actual","","end-planned","Sweden","SWE","Uganda","UGA","120","Health","Implementation","2003","2007","5451736.223","2970063.741"
"87299251259","0","DFID CLIENT ORIENTED RESEARCH N.EU","1999-09-24","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","311","Agriculture","Completion","1999","2002","7859677.419","7196528.423"
"8729922600","0","MANAGEMENT OF COFFEE WILT DISEASE","2002-06-11","start-actual","2004-06-30","end-planned","European Union","DAC","Uganda","UGA","311","Agriculture","Completion","2002","2004","3482975.447","4033221.647"
"87299221108","0","ASSISTANCE TO PROSECUTION SERVICE","1998-01-02","start-actual","","end-planned","Netherlands|United Kingdom","NLD|GBR","Uganda","UGA","151","Government and civil society, general","Completion","1993","2003","2805279.247","2530492.456"
"8729922702","0","CONSERVATION OF BIODIVERSITY - ALBERTINE RIFT VALLEY","2001-01-02","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","2001","2004","300000.0","300000.0"
"8729927889","0","EASTERN CENTRES WATER & SANITATION PROJECT","1997-03-12","start-actual","2001-12-31","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","140","Water supply and sanitation","Completion","1997","2003","16497082.398","14105219.954"
"8729922586","1","ENERGY FOR RURAL TRANSFORMATION","2002-07-30","start-actual","2008-09-30","end-planned","International Development Association","DAC","Uganda","UGA","230","Energy generation and supply","Completion","2001","2009","48604060.913","28841285.399"
"8729922602","0","EMERGENCY REHABILITATION OF GABA I","2002-06-07","start-actual","2004-06-30","end-planned","European Union","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","2002","2004","6126295.947","2794026.98"
"8729935564","1","ENVIRONMENT MANAGEMENT CAPACITY BUILDING","1996-03-31","start-actual","2002-02-28","end-planned","International Development Association","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","1995","2012","32883766.133","31625017.986"
"8729922618","0","FOREST RESOURCE MANAGEMENT AND CONSERVATION PROGRAMME","2000-11-08","start-actual","2005-06-30","end-planned","European Union","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","1992","2005","14294542.268","10965419.856"
"87299221318","0","SMALL SCALE IRRIGATION DEVELOPMENT","1999-08-30","start-actual","","end-planned","Food and Agriculture Organization","DAC","Uganda","UGA","311","Agriculture","Completion","1999","2003","1537000.0","209344.0"
"8729931495","0","L.VICTORIA ENVIRONMENT MANAGEMENT PROGRAM - SECRETARIAT","1996-09-10","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","1996","2005","12121212.121","14217127.512"
"8729922652","0","SMALL TOWNS WATER AND SANITATION PROJECT","1995-01-01","start-actual","2001-06-30","end-planned","Arab Bank for Economic Development in Africa|International Development Association","DAC|DAC","Uganda","UGA","140","Water supply and sanitation","Completion","1994","2009","49617482.517","46685819.668"
"87299241377","0","VOCATIONAL TRAINING ORPHANS & STREET CHILDREN","1999-12-02","start-actual","2004-12-31","end-planned","World Food Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Completion","1999","2005","1159511.0","2051064.0"
"87299241125","0","SUPPORT TO NATIONAL DISABILITY COUNCIL","2000-03-30","start-actual","","end-planned","Norway","NOR","Uganda","UGA","160","Other social infrastructure and services","Completion","2000","2001","134116.424","181294.589"
"87299221164","0","SUPPORT TO EQUAL OPPORTUNITIES COMMISSION","2002-01-02","start-actual","","end-planned","Sweden","SWE","Uganda","UGA","160","Other social infrastructure and services","Completion","2002","2006","2000000.0","12189722.0"
"87299221896","0","RIGHTS OF CHILDREN IN ARMED CONFLICT","","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","160","Other social infrastructure and services","Completion","2000","2004","8115000.0","5053712.0"
"87299241135","0","UGANDA ELECTRICITY REGULATORY AUTHORITY","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","230","Energy generation and supply","Completion","2001","2004","1629092.674","1836477.569"
"8729922583","0","POWER IV","2002-01-24","start-actual","2004-12-31","end-planned","International Development Association|Nordic Development Fund","DAC|DAC","Uganda","UGA","230","Energy generation and supply","Completion","2001","2008","13727647.54","8858083.789"
"87299221908","0","JINJA STORAGE TANKS","","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","230","Energy generation and supply","Implementation","2009","2013","15576323.987","1648662.667"
"8729922632","0","TRANSPORT REHABILITATION PROJECT - FEEDER ROADS","1995-05-11","start-actual","1998-12-31","end-planned","Nordic Development Fund","DAC","Uganda","UGA","210","Transport and storage","Completion","1994","2004","5034965.034","10545909.082"
"8729922679","0","UPGRADING KAGAMBA-RUKUNGIRI ROAD","1997-04-15","start-actual","","end-planned","European Union","DAC","Uganda","UGA","210","Transport and storage","Completion","1997","2007","35087431.693","29847387.843"
"8729922645","0","TRANSPORT REHABILITATION PROJECT - MAIN ROADS","1994-11-29","start-actual","2001-10-31","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","1994","2001","56443145.454","53239878.766"
"8729922678","0","REHABILITATION OF KAMPALA-MALABA RAILWAY LINE","2002-01-02","start-actual","","end-planned","European Union","DAC","Uganda","UGA","210","Transport and storage","Completion","2002","2005","20220041.629","26998505.905"
"8729922575","0","ROADS MAINTENANCE IN CENTRAL UGANDA","2001-12-31","start-actual","2006-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","210","Transport and storage","Completion","2001","2006","18987341.772","12184710.737"
"87299221922","0","RSISTAP - RAFU","","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Implementation","1998","2011","19885562.946","6456179.507"
"87299221924","0","RECONSTRUCTION MALABA/BUSIA-BUGIRI ROAD","","start-actual","","end-planned","European Union","DAC","Uganda","UGA","210","Transport and storage","Completion","2000","2003","6986899.563","564082.12"
"8729931571","0","RDP - TRANSPORT MASTER PLAN","2001-02-01","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","1999","2008","94410551.322","28577823.038"
"87299221929","0","RDP - CONSTRUCTION OF ROAD AGENCY HEADQUARTERS","","start-actual","","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","2001","2008","2703045.685","1568621.527"
"8729935646","0","MALABA BORDER POST","2003-01-02","start-actual","","end-planned","European Union","DAC","Uganda","UGA","210","Transport and storage","Completion","2003","2007","5531330.437","6005232.273"
"8729922656","0","HIGHWAYS - NURP","1992-12-09","start-actual","1999-03-31","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1992","1999","70901639.344","74524575.205"
"8729922893","0","MITYANA-FORT PORTAL, KYEGEGWA-KYENJOJO","1998-12-10","start-actual","2003-06-30","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","210","Transport and storage","Completion","1997","2003","44525208.662","34248240.135"
"872992686","0","EL-NINO EMERGENCY ROAD PROJECT","1998-07-30","start-actual","2004-06-30","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Implementation","1998","2004","11239398.638","6463262.654"
"8729921557","0","CONSTRUCTION OF SELECTED BRIDGES","2009-02-05","start-actual","2013-01-31","end-planned","Islamic Development Bank","DAC","Uganda","UGA","210","Transport and storage","Implementation","2008","2013","10638298.0","70225.0"
"8729921946","0","SUPPORT TO MURCHISON FALLS NATIONAL PARK","2002-12-31","start-actual","","end-planned","Germany","DEU","Uganda","UGA","331","Trade policy and regulations","Completion","1991","2004","12134380.257","12013827.53"
"8729922712","0","DEVELOPING EXPORT AGRICULTURE","1993-09-24","start-actual","1999-09-30","end-planned","United States of America","USA","Uganda","UGA","331","Trade policy and regulations","Completion","1993","2002","41434715.0","40352905.0"
"8729931598","0","WEST NILE HEALTH PROGRAMME","2001-01-02","start-actual","","end-planned","European Union","DAC","Uganda","UGA","120","Health","Completion","2001","2002","1979264.844","1933028.648"
"8729927808","0","UGANDA BLOOD TRANSFUSION SERVICE PHASE II","1999-05-27","start-actual","2002-06-29","end-planned","European Union","DAC","Uganda","UGA","120","Health","Completion","1992","2005","4205280.267","2782760.126"
"8729922975","0","TRAINING SUPPORT FOR PRIMARY HEALTH CARE","1996-01-29","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","120","Health","Completion","1996","2002","5961495.701","5262012.644"
"8729927878","0","SUPPORT TO MINISTRY OF HEALTH - HSSP","1996-09-09","start-actual","2002-12-31","end-planned","Denmark/DANIDA|Italy","DNK|ITA","Uganda","UGA","120","Health","Completion","1996","2009","59978633.614","49042321.008"
"87299381192","0","SUPPORT TO HEALTH PLANNING UNIT","1996-03-12","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","120","Health","Completion","1996","2003","1221171.528","3365809.347"
"87299351153","0","IMAGING & THEATRE EQUIPMENT PROJECT II","2003-12-31","start-actual","","end-planned","Netherlands","NLD","Uganda","UGA","120","Health","Completion","2003","2006","2304147.465","3290807.886"
"8729922692","0","DECENTRALISED HIV TESTING & COUNSELLING","1999-03-11","start-actual","","end-planned","European Union|Norway","DAC|NOR","Uganda","UGA","120","Health","Completion","1999","2005","10318797.78","8320906.223"
"8729924974","0","TEACHER DEVELOPMENT AND MANAGEMENT SYSTEM (TDMS) EXPANSION (PHASES IV AND V)","2000-01-02","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","110","Education","Completion","2000","2000","1444664.64","1411146.68"
"8729925939","0","SPECIAL EDUCATION PROGRAMME","1997-01-02","start-actual","2001-12-31","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","110","Education","Implementation","1991","2002","16450896.703","13931317.427"
"872992887","0","REHABILITATION OF UGANDA POLYTECHNIC KYAMBOGO","1991-03-20","start-actual","2001-06-30","end-planned","African Development Fund","DAC","Uganda","UGA","110","Education","Completion","1991","2007","18712664.907","9040831.13"
"87299221985","0","REHABILITATION OF SECONDARY SCHOOLS","","start-actual","","end-planned","United States of America","USA","Uganda","UGA","110","Education","Completion","1989","1997","580000.0","603108.0"
"8729922573","0","ADB II EDUCATION PROJECT","2001-05-30","start-actual","2006-06-30","end-planned","African Development Fund","DAC","Uganda","UGA","110","Education","Completion","2000","2008","28588105.797","32041532.502"
"8729931905","0","BASIC EDUCATION IN URBAN POVERTY AREAS","2001-08-11","start-actual","","end-planned","Germany","DEU","Uganda","UGA","110","Education","Completion","1997","2007","2709095.033","3746492.804"
"87299221991","0","CHILD FRIENDLY BASIC EDUCATION","","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","110","Education","Completion","2000","2004","20000000.0","12012550.0"
"8729924967","0","CONSTRUCTION OF PRIMARY SCHOOLS IN 45 DISTRICTS","1997-01-02","start-actual","1999-12-31","end-planned","Ireland|Netherlands","IRL|NLD","Uganda","UGA","110","Education","Completion","1997","1999","2545711.263","2299059.872"
"8729922935","0","URBAN WATER REFORM IMPLEMENTATION","2002-06-03","start-actual","","end-planned","Germany","DEU","Uganda","UGA","140","Water supply and sanitation","Completion","2001","2007","2248424.802","2935323.593"
"87299221998","0","UGANDA FOREST SECTOR POLICY AND STRATEGY","","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","140","Water supply and sanitation","Completion","1998","2004","6914191.419","10162415.184"
"8729925890","1","WATER SECTOR HUMAN RESOURCE DEVELOPMENT","1999-01-02","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","140","Water supply and sanitation","Implementation","1999","2005","2318801.261","5466722.983"
"87299222005","0","SCHOOL/COMMUNITY SANITATION AND WATER","","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","2000","2004","25900000.0","9527101.0"
"87299222006","0","NATIONAL BIOMASS STUDY - PHASE III","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","140","Water supply and sanitation","Completion","1988","2006","6017670.805","8335139.869"
"87299211282","0","NORTH EASTERN TOWNS WATER AND SANITATION - BADEA","2002-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","140","Water supply and sanitation","Completion","2001","2003","994946.608","988627.79"
"87299351399","0","OPERATIONALISING WATER RESOURCE MANAGEMENT - NILE BASIN","1997-01-01","start-actual","","end-planned","Food and Agriculture Organization","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","1993","2001","1096469.0","1196467.0"
