"","NAME_0","NAME_1","NAME_2","NAME_3_unique","project_id","project_location_id","precision_code","geoname_id","place_name","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements","NAME_3","NAME_0.id","NAME_1.id","NAME_2.id","NAME_3.id"
"11","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299462603,"87299462603_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"IMPLEMENTATION OF THE NATIONAL PLAN OF DISASTER PREPAREDNESS UGANDA","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","151","Government and civil society, general","Implementation",2012,2012,0,690548.122,0,18663.4627568,"Ofua",1,1,56,819
"12","Uganda","Adjumani","East Moyo","Ofua East Moyo",8729938740,"8729938740_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"RURAL WATER SUPPLY $ SANITATION","2006-01-23","start-actual","2010-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","140","Water supply and sanitation","Completion",2006,2010,58910162.002,62374450.898,525983.589304,556914.740161,"Ofua",1,1,56,819
"13","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299463034,"87299463034_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"IMPROVING ACCESS TO HEALTH CARE IN NORTHERN UGANDA","","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","120","Health","Implementation",2012,2012,0,466562.986,0,12277.9733158,"Ofua",1,1,56,819
"14","Uganda","Adjumani","East Moyo","Pakelle East Moyo",87299462157,"87299462157_226839",1,226839,"Pakelle","PPL","populated place","6295630|6255146|UG|N|443782|226839","Earth|Africa|Uganda|Northern Region|Adjumani District|Pakelle",1,2,1,"DEVELOPMENT ASSISTANCE TO REFUGEE HOSTING AREAS, PHASE 2 (DAR2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","160","Other social infrastructure and services","Implementation",2012,2012,0,791431.435,0,29312.2753704,"Pakelle",1,1,56,857
"15","Uganda","Apac","Kole","Aboke Kole",87299462158,"87299462158_235567",1,235567,"Aboke","PPL","populated place","6295630|6255146|UG|N|8030565|235567","Earth|Africa|Uganda|Northern Region|Kole District|Aboke",1,2,1,"RESTORATION OF AGRIC. LIVELIHOODS IN NORTHERN UGANDA PHASE 2 (RALNUC2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","311","Agriculture","Implementation",2012,2012,0,439684.13,0,23141.27,"Aboke",1,2,94,5
"16","Uganda","Apac","Kole","Aboke Kole",87299462158,"87299462158_226908",1,226908,"Otwal","PPL","populated place","6295630|6255146|UG|N|8030565|226908","Earth|Africa|Uganda|Northern Region|Kole District|Otwal",1,2,1,"RESTORATION OF AGRIC. LIVELIHOODS IN NORTHERN UGANDA PHASE 2 (RALNUC2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","311","Agriculture","Implementation",2012,2012,0,439684.13,0,23141.27,"Aboke",1,2,94,5
"17","Uganda","Apac","Kole","Alito Kole",87299462158,"87299462158_235268",1,235268,"Alito","PPL","populated place","6295630|6255146|UG|N|8030565|235268","Earth|Africa|Uganda|Northern Region|Kole District|Alito",1,2,1,"RESTORATION OF AGRIC. LIVELIHOODS IN NORTHERN UGANDA PHASE 2 (RALNUC2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","311","Agriculture","Implementation",2012,2012,0,439684.13,0,23141.27,"Alito",1,2,94,29
"18","Uganda","Apac","Kole","Alito Kole",87299462500,"87299462500_235268",1,235268,"Alito","PPL","populated place","6295630|6255146|UG|N|8030565|235268","Earth|Africa|Uganda|Northern Region|Kole District|Alito",1,2,1,"THE PROJECT FOR CONSTRUCTION OF SCIENCE LABORATORY BLOCK AT ALITO SECONDARY SCHOOL","2013-03-19","start-actual","","end-planned","Japan","JPN","Uganda","UGA","110","Education","Implementation",2013,2013,121898,52505.377,121898,52505.377,"Alito",1,2,94,29
"19","Uganda","Apac","Kole","Alito Kole",87299462365,"87299462365_235268",1,235268,"Alito","PPL","populated place","6295630|6255146|UG|N|8030565|235268","Earth|Africa|Uganda|Northern Region|Kole District|Alito",1,2,1,"COMMUNITY CONNECTOR","2011-12-14","start-actual","2016-12-13","end-planned","United States of America","USA","Uganda","UGA","311","Agriculture","Implementation",2011,2016,23310000,2110000,271046.511628,24534.8837209,"Alito",1,2,94,29
"20","Uganda","Apac","Kole","Ayer Kole",87299462365,"87299462365_235128",1,235128,"Apala","PPL","populated place","6295630|6255146|UG|N|8030565|235128","Earth|Africa|Uganda|Northern Region|Kole District|Apala",1,2,1,"COMMUNITY CONNECTOR","2011-12-14","start-actual","2016-12-13","end-planned","United States of America","USA","Uganda","UGA","311","Agriculture","Implementation",2011,2016,23310000,2110000,271046.511628,24534.8837209,"Ayer",1,2,94,59
"21","Uganda","Apac","Kole","Ayer Kole",87299462348,"87299462348_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"INDOOR RESIDUAL SPRAYING PROJECT PHASE II (IRS II)","2012-06-26","start-actual","2017-06-26","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2011,2017,63990000,27047900,6399000,2704790,"Ayer",1,2,94,59
"22","Uganda","Apac","Kole","Ayer Kole",87299464067,"87299464067_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"POVERTY REDUCTION FOR IDP'S","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,0,0,0,"Ayer",1,2,94,59
"23","Uganda","Apac","Kole","Ayer Kole",8729938854,"8729938854_7732538",1,7732538,"Ayer","ADM4","fourth-order administrative division","6295630|6255146|UG|N|8030565|8644134|7732538","Earth|Africa|Uganda|Northern Region|Kole District|Kole|Ayer",1,1,1,"ADB III POST PRIMARY EDUCATION EDUC & TRAINING","2006-07-09","start-actual","2012-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","110","Education","Completion",2006,2012,29455081.001,31126919.891,685001.883744,723881.85793,"Ayer",1,2,94,59
"24","Uganda","Apac","Kole","Ayer Kole",87299462403,"87299462403_234921",1,234921,"Ayer","PPL","populated place","6295630|6255146|UG|N|8030565|234921","Earth|Africa|Uganda|Northern Region|Kole District|Ayer",1,2,1,"COMM. BASED HIV/AIDS PREVENTION, CARE, AND SUPPORT SERVICES","2009-08-24","start-actual","2014-08-23","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,5e+06,2540000,333333.333333,169333.333333,"Ayer",1,2,94,59
"25","Uganda","Apac","Kole","Ayer Kole",87299464066,"87299464066_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"CAPACITY FOR DISASTER RISK MANAGMENT & RESILIENCE","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,0,0,0,"Ayer",1,2,94,59
"26","Uganda","Apac","Kole","Ayer Kole",87299463064,"87299463064_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"SOCIAL PROTECTION PROGRAMME","","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","160","Other social infrastructure and services","Implementation",2012,2012,0,1958384.332,0,139884.595143,"Ayer",1,2,94,59
"27","Uganda","Apac","Kole","Ayer Kole",8729938740,"8729938740_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"RURAL WATER SUPPLY $ SANITATION","2006-01-23","start-actual","2010-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","140","Water supply and sanitation","Completion",2006,2010,58910162.002,62374450.898,525983.589304,556914.740161,"Ayer",1,2,94,59
"28","Uganda","Apac","Kole","Ayer Kole",87299463038,"87299463038_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"SOCIAL PROTECTION PILOT CASH TRANSFER (MOGLSP-MAXWELL)","2009-02-16","start-actual","2014-09-30","end-planned","United Kingdom","GBR","Uganda","UGA","160","Other social infrastructure and services","Implementation",2009,2014,0,2332814.93,0,166629.637857,"Ayer",1,2,94,59
"29","Uganda","Apac","Kole","Ayer Kole",87299462716,"87299462716_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"SR 1325 PEACE EXPO EVENT","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","160","Other social infrastructure and services","Implementation",2011,2011,0,61394.891,0,7674.361375,"Ayer",1,2,94,59
"30","Uganda","Apac","Kole","Ayer Kole",87299462365,"87299462365_7732538",1,7732538,"Ayer","ADM4","fourth-order administrative division","6295630|6255146|UG|N|8030565|8644134|7732538","Earth|Africa|Uganda|Northern Region|Kole District|Kole|Ayer",1,1,1,"COMMUNITY CONNECTOR","2011-12-14","start-actual","2016-12-13","end-planned","United States of America","USA","Uganda","UGA","311","Agriculture","Implementation",2011,2016,23310000,2110000,271046.511628,24534.8837209,"Ayer",1,2,94,59
"31","Uganda","Apac","Kole","Ayer Kole",87299464063,"87299464063_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"LOCAL DEVELOPMENT AND SOCIAL COHESION IN NORTHERN UGANDA","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,1e+05,0,4545.45454545,"Ayer",1,2,94,59
"32","Uganda","Apac","Kole","Ayer Kole",87299462365,"87299462365_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"COMMUNITY CONNECTOR","2011-12-14","start-actual","2016-12-13","end-planned","United States of America","USA","Uganda","UGA","311","Agriculture","Implementation",2011,2016,23310000,2110000,271046.511628,24534.8837209,"Ayer",1,2,94,59
"33","Uganda","Apac","Kole","Ayer Kole",87299463298,"87299463298_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"CONSOLIDATING NON-FORMAL SKILLS AND VOCATIONAL TRAINING FOR JOB CREATION AND POVERTY ALLEVIATION IN NORTHERN UGANDA","2012-12-01","start-actual","2018-03-31","end-planned","European Union","DAC","Uganda","UGA","110","Education","Implementation",2012,2018,848296.205,207336.597,212074.05125,51834.14925,"Ayer",1,2,94,59
"34","Uganda","Apac","Kole","Ayer Kole",87299464060,"87299464060_8030565",3,8030565,"Kole District","ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1,1,"NORTHERN UGANDA PROGRAMME","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,1e+05,0,6250,"Ayer",1,2,94,59
"35","Uganda","Apac","Kwania","Cawente Kwania",87299462403,"87299462403_235397",1,235397,"Ajar","PPL","populated place","6295630|6255146|UG|N|443327|235397","Earth|Africa|Uganda|Northern Region|Apac District|Ajar",1,2,1,"COMM. BASED HIV/AIDS PREVENTION, CARE, AND SUPPORT SERVICES","2009-08-24","start-actual","2014-08-23","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,5e+06,2540000,333333.333333,169333.333333,"Cawente",1,2,98,233
"36","Uganda","Apac","Kwania","Inomo Kwania",87299462403,"87299462403_235414",1,235414,"Agwiciri","PPL","populated place","6295630|6255146|UG|00","Earth|Africa|Uganda|Agwiciri",1,2,1,"COMM. BASED HIV/AIDS PREVENTION, CARE, AND SUPPORT SERVICES","2009-08-24","start-actual","2014-08-23","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,5e+06,2540000,333333.333333,169333.333333,"Inomo",1,2,98,282
"37","Uganda","Apac","Kwania","Inomo Kwania",87299462403,"87299462403_233227",1,233227,"Inomo","PPL","populated place","6295630|6255146|UG|N|443327|233227","Earth|Africa|Uganda|Northern Region|Apac District|Inomo",1,2,1,"COMM. BASED HIV/AIDS PREVENTION, CARE, AND SUPPORT SERVICES","2009-08-24","start-actual","2014-08-23","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,5e+06,2540000,333333.333333,169333.333333,"Inomo",1,2,98,282
"38","Uganda","Apac","Maruzi","Akokoro Maruzi",87299462403,"87299462403_235249",1,235249,"Aluga","PPL","populated place","6295630|6255146|UG|N|443327|235249","Earth|Africa|Uganda|Northern Region|Apac District|Aluga",1,2,1,"COMM. BASED HIV/AIDS PREVENTION, CARE, AND SUPPORT SERVICES","2009-08-24","start-actual","2014-08-23","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,5e+06,2540000,333333.333333,169333.333333,"Akokoro",1,2,114,23
"39","Uganda","Apac","Maruzi","Apac Maruzi",872992175,"872992175_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"RECONSTRUCTION OF TORORO-SOROTI ROAD","2010-05-04","start-actual","2014-06-30","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Implementation",2010,2014,256748466.257,31833848.714,19749882.0198,2448757.59338,"Apac",1,2,114,38
"40","Uganda","Apac","Maruzi","Apac Maruzi",87299462403,"87299462403_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"COMM. BASED HIV/AIDS PREVENTION, CARE, AND SUPPORT SERVICES","2009-08-24","start-actual","2014-08-23","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,5e+06,2540000,333333.333333,169333.333333,"Apac",1,2,114,38
"41","Uganda","Apac","Maruzi","Apac Maruzi",87299463027,"87299463027_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"SUPPORT TO LOCAL GOV ASSOCIATION- CAPACITY BUILDING-NORTHERN UGANDA (PRDP)","2008-12-03","start-actual","2014-09-30","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation",2008,2014,0,155520.995,0,4092.65776316,"Apac",1,2,114,38
"42","Uganda","Apac","Maruzi","Apac Maruzi",87299462712,"87299462712_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"CIVIL SOCIETY PEACE BUILDING IN NORTHERN UGANDA","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","160","Other social infrastructure and services","Completion",2011,2011,0,119670.393,0,14958.799125,"Apac",1,2,114,38
"43","Uganda","Apac","Maruzi","Apac Maruzi",87299464067,"87299464067_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"POVERTY REDUCTION FOR IDP'S","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,0,0,0,"Apac",1,2,114,38
"44","Uganda","Apac","Maruzi","Apac Maruzi",87299462391,"87299462391_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"SECURING UGANDA'S RIGHTS TO ESSENTIAL MEDICINES PROGRAM (SURE)","","start-actual","2014-07-16","end-planned","United States of America","USA","Uganda","UGA","120","Health","Implementation",2009,2014,37830000,12161000,630500,202683.333333,"Apac",1,2,114,38
"45","Uganda","Apac","Maruzi","Apac Maruzi",8729931419,"8729931419_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"MAINSTREAMING CLIMATE CHANGE PROJECT","2008-12-19","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","140","Water supply and sanitation","Implementation",2008,2010,682908.507,371861.269,170727.12675,92965.31725,"Apac",1,2,114,38
"46","Uganda","Apac","Maruzi","Apac Maruzi",87299462603,"87299462603_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"IMPLEMENTATION OF THE NATIONAL PLAN OF DISASTER PREPAREDNESS UGANDA","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","151","Government and civil society, general","Implementation",2012,2012,0,690548.122,0,18663.4627568,"Apac",1,2,114,38
"47","Uganda","Apac","Maruzi","Apac Maruzi",87299463296,"87299463296_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"EMPLOYMENT ORIENTED SKILLS DEVELOPMENT NETWORKS (EoSDN)","2012-09-01","start-actual","2016-02-29","end-planned","European Union","DAC","Uganda","UGA","110","Education","Implementation",2012,2016,593783.353,228908.2,98963.8921667,38151.3666667,"Apac",1,2,114,38
"48","Uganda","Apac","Maruzi","Apac Maruzi",87299463284,"87299463284_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"CREATION OF SUSTAINABLE SOURCES OF INCOME FOR THE DISADVANTAGED POPULATIONS IN THE DISTRICTS OF OYAM, APAC, AMOLATAR.","2010-09-13","start-actual","2017-03-31","end-planned","European Union","DAC","Uganda","UGA","110","Education","Implementation",2010,2017,688530.612,410032.313,229510.204,136677.437667,"Apac",1,2,114,38
"49","Uganda","Apac","Maruzi","Apac Maruzi",8729938740,"8729938740_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"RURAL WATER SUPPLY $ SANITATION","2006-01-23","start-actual","2010-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","140","Water supply and sanitation","Completion",2006,2010,58910162.002,62374450.898,525983.589304,556914.740161,"Apac",1,2,114,38
"50","Uganda","Apac","Maruzi","Apac Maruzi",87299464060,"87299464060_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"NORTHERN UGANDA PROGRAMME","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,1e+05,0,6250,"Apac",1,2,114,38
"51","Uganda","Apac","Maruzi","Apac Maruzi",87299464063,"87299464063_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"LOCAL DEVELOPMENT AND SOCIAL COHESION IN NORTHERN UGANDA","2013-01-01","start-actual","2014-12-31","end-planned","United Nations Development Programme","DAC","Uganda","UGA","160","Other social infrastructure and services","Implementation",2013,2014,0,1e+05,0,4545.45454545,"Apac",1,2,114,38
"52","Uganda","Apac","Maruzi","Apac Maruzi",87299221949,"87299221949_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"8 DISTRICTS ROAD NETWORK - FEEDER ROADS","1998-12-10","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","210","Transport and storage","Completion",1998,2005,20896184.893,12404282.992,1393078.99287,826952.199467,"Apac",1,2,114,38
"53","Uganda","Apac","Maruzi","Apac Maruzi",8729922193,"8729922193_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"NORTHERN UGANDA SOCIAL ACTION FUND (NUSAF)","2012-02-09","start-actual","2014-08-31","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Implementation",2009,2014,139410967.476,87588840.519,3767863.98584,2367265.95997,"Apac",1,2,114,38
"54","Uganda","Apac","Maruzi","Apac Maruzi",87299462865,"87299462865_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"OPM- UGANDA INVESTMENT AUTHORITY (PRDP)","2010-07-29","start-actual","2014-03-31","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation",2010,2014,0,777604.976,0,20463.2888421,"Apac",1,2,114,38
"55","Uganda","Apac","Maruzi","Apac Maruzi",87299463038,"87299463038_443327",3,443327,"Apac District","ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1,1,"SOCIAL PROTECTION PILOT CASH TRANSFER (MOGLSP-MAXWELL)","2009-02-16","start-actual","2014-09-30","end-planned","United Kingdom","GBR","Uganda","UGA","160","Other social infrastructure and services","Implementation",2009,2014,0,2332814.93,0,166629.637857,"Apac",1,2,114,38
